PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32653621","Outcomes after Haploidentical Stem Cell Transplantation with Post-Transplantation Cyclophosphamide in Patients with Primary Immunodeficiency Diseases","Fernandes JF, Nichele S, Arcuri LJ, Ribeiro L, Zamperlini-Netto G, Loth G, Rodrigues ALM, Kuwahara C, Koliski A, Trennepohl J, Garcia JL, Daudt LE, Seber A, Gomes AA, Fasth A, Pasquini R, Hamerschlak N, Rocha V, Bonfim C.","Biol Blood Marrow Transplant. 2020 Oct;26(10):1923-1929. doi: 10.1016/j.bbmt.2020.07.003. Epub 2020 Jul 9.","Fernandes JF","Biol Blood Marrow Transplant","2020","2020/07/13","","","10.1016/j.bbmt.2020.07.003"
"32968215","Haploidentical HSCT with post transplantation cyclophosphamide versus unrelated donor HSCT in pediatric patients affected by acute leukemia","Saglio F, Berger M, Spadea M, Pessolano R, Carraro F, Barone M, Quarello P, Vassallo E, Fagioli F.","Bone Marrow Transplant. 2021 Mar;56(3):586-595. doi: 10.1038/s41409-020-01063-2. Epub 2020 Sep 23.","Saglio F","Bone Marrow Transplant","2021","2020/09/24","","","10.1038/s41409-020-01063-2"
"34663912","Allogeneic blood or marrow transplantation with haploidentical donor and post-transplantation cyclophosphamide in patients with myelofibrosis: a multicenter study","Kunte S, Rybicki L, Viswabandya A, Tamari R, Bashey A, Keyzner A, Iqbal M, Grunwald MR, Dholaria B, Elmariah H, Ozga M, Singh A, Abedin S, DeZern AE, Jones RJ, Gupta V, Gerds AT, Jain T.","Leukemia. 2022 Mar;36(3):856-864. doi: 10.1038/s41375-021-01449-1. Epub 2021 Oct 18.","Kunte S","Leukemia","2022","2021/10/19","PMC10084790","NIHMS1867052","10.1038/s41375-021-01449-1"
"32024990","Dual T-cell depletion with ATG and PTCy for peripheral blood reduced intensity conditioning allo-HSCT results in very low rates of GVHD","Salas MQ, Prem S, Atenafu EG, Datt Law A, Lam W, Al-Shaibani Z, Loach D, Kim DDH, Michelis FV, Lipton JH, Kumar R, Mattsson J, Viswabandya A.","Bone Marrow Transplant. 2020 Sep;55(9):1773-1783. doi: 10.1038/s41409-020-0813-9. Epub 2020 Feb 5.","Salas MQ","Bone Marrow Transplant","2020","2020/02/07","","","10.1038/s41409-020-0813-9"
"32234377","HLA-Haploidentical Hematopoietic Cell Transplantation for Treatment of Nonmalignant Diseases Using Nonmyeloablative Conditioning and Post-Transplant Cyclophosphamide","Mallhi KK, Srikanthan MA, Baker KK, Frangoul HA, Torgerson TR, Petrovic A, Geddis AE, Carpenter PA, Baker KS, Sandmaier BM, Thakar MS, Skoda-Smith S, Kiem HP, Storb R, Woolfrey AE, Burroughs LM.","Biol Blood Marrow Transplant. 2020 Jul;26(7):1332-1341. doi: 10.1016/j.bbmt.2020.03.018. Epub 2020 Mar 28.","Mallhi KK","Biol Blood Marrow Transplant","2020","2020/04/03","PMC7306430","NIHMS1580194","10.1016/j.bbmt.2020.03.018"
"36057732","Impact of second-degree related donor on the outcomes of T cell-replete haploidentical transplantation with post-transplant cyclophosphamide","Mariotti J, Raiola AM, Evangelista A, Harbi S, Patriarca F, Carella MA, Martino M, Risitano A, Busca A, Giaccone L, Brunello L, Merla E, Savino L, Loteta B, Console G, Fanin R, Sperotto A, Marano L, Marotta S, Frieri C, Sica S, Chiusolo P, Chabannon C, Furst S, Santoro A, Bacigalupo A, Bruno B, Blaise D, Mavilio D, Bramanti S, Devillier R, Angelucci E, Castagna L.","Bone Marrow Transplant. 2022 Dec;57(12):1758-1764. doi: 10.1038/s41409-022-01565-1. Epub 2022 Sep 3.","Mariotti J","Bone Marrow Transplant","2022","2022/09/03","","","10.1038/s41409-022-01565-1"
"27832981","Haploidentical Bone Marrow Transplantation with Post-Transplant Cyclophosphamide for Children and Adolescents with Fanconi Anemia","Bonfim C, Ribeiro L, Nichele S, Loth G, Bitencourt M, Koliski A, Kuwahara C, Fabro AL, Pereira NF, Pilonetto D, Thakar M, Kiem HP, Page K, Fuchs EJ, Eapen M, Pasquini R.","Biol Blood Marrow Transplant. 2017 Feb;23(2):310-317. doi: 10.1016/j.bbmt.2016.11.006. Epub 2016 Nov 7.","Bonfim C","Biol Blood Marrow Transplant","2017","2016/11/12","","","10.1016/j.bbmt.2016.11.006"
"30924973","Low rates of acute and chronic GVHD with ATG and PTCy in matched and mismatched unrelated donor peripheral blood stem cell transplants","Prem S, Atenafu EG, Al-Shaibani Z, Loach D, Law A, Lam W, Michelis FV, Thyagu S, Kim DDH, Howard Lipton J, Kumar R, Viswabandya A.","Eur J Haematol. 2019 Jun;102(6):486-493. doi: 10.1111/ejh.13230. Epub 2019 Apr 29.","Prem S","Eur J Haematol","2019","2019/03/30","","","10.1111/ejh.13230"
"40946741","Bacterial Bloodstream Infections After Hematopoietic Cell Transplantation With Post-Transplant Cyclophosphamide","Chorão P, de Cossio S, Muñoz-Brell P, Marco M, Granados P, González EM, Villalba M, Asensi P, Balaguer-Roselló A, Gómez MD, Gómez I, Solves P, Louro A, Perla A, de la Rubia J, Salavert M, Sanz MA, Montoro J, Sanz J.","Transplant Cell Ther. 2026 Jan;32(1):96.e1-96.e10. doi: 10.1016/j.jtct.2025.09.019. Epub 2025 Sep 12.","Chorão P","Transplant Cell Ther","2026","2025/09/14","","","10.1016/j.jtct.2025.09.019"
"40223010","Anti-T lymphocyte globulin plus posttransplant cyclophosphamide 25 mg/kg versus posttransplant cyclophosphamide 50 mg/kg in patients with acute leukemias","Karakus A, Toptas T, Dal MS, Durdu A, Hatipoglu U, Kayer MA, Hindilerden IY, Tiryaki TO, Iskender D, Ulu BU, Yigenoglu TN, Erkurt MA, Ulas T, Altuntas F.","Bone Marrow Transplant. 2025 Jun;60(6):864-872. doi: 10.1038/s41409-025-02564-8. Epub 2025 Apr 13.","Karakus A","Bone Marrow Transplant","2025","2025/04/13","PMC12151847","","10.1038/s41409-025-02564-8"
"28049637","Low immunosuppressive burden after HLA-matched related or unrelated BMT using posttransplantation cyclophosphamide","Kanakry CG, Bolaños-Meade J, Kasamon YL, Zahurak M, Durakovic N, Furlong T, Mielcarek M, Medeot M, Gojo I, Smith BD, Kanakry JA, Borrello IM, Brodsky RA, Gladstone DE, Huff CA, Matsui WH, Swinnen LJ, Cooke KR, Ambinder RF, Fuchs EJ, de Lima MJ, Andersson BS, Varadhan R, O'Donnell PV, Jones RJ, Luznik L.","Blood. 2017 Mar 9;129(10):1389-1393. doi: 10.1182/blood-2016-09-737825. Epub 2017 Jan 3.","Kanakry CG","Blood","2017","2017/01/05","PMC5345732","","10.1182/blood-2016-09-737825"
"37363983","Post-transplantation Cyclophosphamide-based Graft-versus-host-disease Prophylaxis Compared to Methotrexate-cyclosporine a in Matched-related Allogeneic Hematopoietic Stem Cell Transplantation","Shouman MT, Mansour OM, El Gammal MM, Abdel-Fattah RM, Samra MA, Elhaddad AM, Maher MA, Mahmoud HK.","Hematol Oncol Stem Cell Ther. 2023 May 23;16(4):379-387. doi: 10.56875/2589-0646.1065.","Shouman MT","Hematol Oncol Stem Cell Ther","2023","2023/06/26","","","10.56875/2589-0646.1065"
"30337700","Pilot study using post-transplant cyclophosphamide (PTCy), tacrolimus and mycophenolate GVHD prophylaxis for older patients receiving 10/10 HLA-matched unrelated donor hematopoietic stem cell transplantation","Shah MV, Saliba RM, Rondon G, Chen J, Soebbing D, Rus I, Alousi A, Oran B, Kebriaei P, Qazilbash M, Parmar S, Hosing C, Khouri IF, Popat UR, Champlin RE, Ciurea SO.","Bone Marrow Transplant. 2019 Apr;54(4):601-606. doi: 10.1038/s41409-018-0367-2. Epub 2018 Oct 18.","Shah MV","Bone Marrow Transplant","2019","2018/10/20","PMC7232773","NIHMS1586481","10.1038/s41409-018-0367-2"
"40874329","Post-transplant cyclophosphamide improves survival compared to antithymocyte globulin in HLA-mismatched unrelated donor stem cell transplantation","Bordat J, Kaphan E, Robin M, Xhaard A, De Fontbrune FS, Chevillon F, Socie G, De Latour RP, Michonneau D.","Haematologica. 2026 Feb 1;111(2):546-557. doi: 10.3324/haematol.2024.287157. Epub 2025 Aug 28.","Bordat J","Haematologica","2026","2025/08/28","PMC12862306","","10.3324/haematol.2024.287157"
"39562716","Immunological reconstitution and infections after alloHCT - a comparison between post-transplantation cyclophosphamide, ATLG and non-ATLG based GvHD prophylaxis","Meyer T, Maas-Bauer K, Wäsch R, Duyster J, Zeiser R, Finke J, Wehr C.","Bone Marrow Transplant. 2025 Mar;60(3):286-296. doi: 10.1038/s41409-024-02474-1. Epub 2024 Nov 19.","Meyer T","Bone Marrow Transplant","2025","2024/11/20","PMC11893447","","10.1038/s41409-024-02474-1"
"32457025","Impact of Adding Antithymocyte Globulin to Posttransplantation Cyclophosphamide in Haploidentical Stem-Cell Transplantation","El-Cheikh J, Devillier R, Dulery R, Massoud R, Al Chami F, Ghaoui N, Moukalled N, Pagliardini T, Marino F, Malard F, Bazarbachi AH, Mohty R, Bazarbachi A, Castagna L, Mohty M, Blaise D.","Clin Lymphoma Myeloma Leuk. 2020 Sep;20(9):617-623. doi: 10.1016/j.clml.2020.04.003. Epub 2020 Apr 20.","El-Cheikh J","Clin Lymphoma Myeloma Leuk","2020","2020/05/28","","","10.1016/j.clml.2020.04.003"
"40577139","Letermovir prophylaxis for cytomegalovirus infection in hematopoietic transplantation with post-transplant cyclophosphamide","Gelo O, Arbelbide J, Garbarini M, Bendek G, Castro M, Oliveros K, Martínez Rolón J, Bentolila G, Szelagowski M, Berro M, Fuente L, Ayala LE, Vitriu AV, Foncuberta MC.","Medicina (B Aires). 2025;85(3):526-533.","Gelo O","Medicina (B Aires)","2025","2025/06/27","","",""
"36595478","Impact of GVHD prophylaxis on CMV reactivation and disease after HLA-matched peripheral blood stem cell transplantation","Ueda Oshima M, Xie H, Zamora D, Flowers ME, Hill GR, Mielcarek MB, Sandmaier BM, Gooley TA, Boeckh MJ.","Blood Adv. 2023 Apr 25;7(8):1394-1403. doi: 10.1182/bloodadvances.2022009112.","Ueda Oshima M","Blood Adv","2023","2023/01/03","PMC10139935","","10.1182/bloodadvances.2022009112"
"39880444","Multicentre adaptive randomised trial of GvHD prophylaxis following unrelated donor stem cell transplantation comparing Thymoglobulin versus calcineurin inhibitor-based or sirolimus-based post-transplant cyclophosphamide (Methods of T cell Depletion, MoTD trial)","Chakraverty R, Kempshall E, Dignan F, Bloor A, Collin M, Raj K, Davies J, Potter V, Malladi R, Smith S, Gates S, Gaskell C, Bishop R, Hodgkinson A, Smith G.","BMJ Open. 2025 Jan 28;15(1):e086223. doi: 10.1136/bmjopen-2024-086223.","Chakraverty R","BMJ Open","2025","2025/01/29","PMC11781120","","10.1136/bmjopen-2024-086223"
"26707539","Haploidentical hematopoietic stem cell transplantation with post-transplant high-dose cyclophosphamide in high-risk children: A single-center study","Yesilipek MA, Uygun V, Karasu G, Daloglu H, Dincer Z.","Pediatr Transplant. 2016 May;20(3):417-23. doi: 10.1111/petr.12658. Epub 2015 Dec 28.","Yesilipek MA","Pediatr Transplant","2016","2015/12/29","","","10.1111/petr.12658"
"37117266","Impact of donor age and relationship on outcomes of peripheral blood haploidentical hematopoietic cell transplantation","Pruitt A, Gao F, De Togni E, Cochran H, Godbole S, Slade M, Abboud R.","Bone Marrow Transplant. 2023 Aug;58(8):855-862. doi: 10.1038/s41409-023-01984-8. Epub 2023 Apr 28.","Pruitt A","Bone Marrow Transplant","2023","2023/04/28","PMC10400423","","10.1038/s41409-023-01984-8"
"29024804","Impact of HLA Disparity in Haploidentical Bone Marrow Transplantation Followed by High-Dose Cyclophosphamide","Raiola AM, Risitano A, Sacchi N, Giannoni L, Signori A, Aquino S, Bregante S, Di Grazia C, Dominietto A, Geroldi S, Ghiso A, Gualandi F, Lamparelli T, Tedone E, Van Lint MT, Varaldo R, Ibatici A, Marani C, Marotta S, Guolo F, Avenoso D, Garbarino L, Pane F, Bacigalupo A, Angelucci E.","Biol Blood Marrow Transplant. 2018 Jan;24(1):119-126. doi: 10.1016/j.bbmt.2017.10.002. Epub 2017 Oct 9.","Raiola AM","Biol Blood Marrow Transplant","2018","2017/10/13","","","10.1016/j.bbmt.2017.10.002"
"39891416","Haploidentical Stem Cell Transplantation With Dual Source of Cells and Post-Transplant Cyclophosphamide","Fonseca-Hial AMR, Parisio K, de Oliveira JSR.","Cancer Med. 2025 Feb;14(3):e70541. doi: 10.1002/cam4.70541.","Fonseca-Hial AMR","Cancer Med","2025","2025/02/01","PMC11785910","","10.1002/cam4.70541"
"36211438","Association between gene polymorphisms in the cyclophosphamide metabolism pathway with complications after haploidentical hematopoietic stem cell transplantation","Muñiz P, Andrés-Zayas C, Carbonell D, Chicano M, Bailén R, Oarbeascoa G, Suárez-González J, Gómez Centurión I, Dorado N, Gallardo D, Anguita J, Kwon M, Díez-Martín JL, Martínez-Laperche C, Buño I.","Front Immunol. 2022 Sep 23;13:1002959. doi: 10.3389/fimmu.2022.1002959. eCollection 2022.","Muñiz P","Front Immunol","2022","2022/10/10","PMC9537744","","10.3389/fimmu.2022.1002959"
