"study_id","first_author","pub_year","country","study_design","single_or_multicenter","enrollment_start_year","enrollment_end_year","follow_up_median_months","primary_for_cohort","cohort_id","total_n","n_arms","comparisons"
250,"Mikulska M",2018,"Italy","retrospective cohort","single","2010","2016","NR","Y","1094",553,4,"C1"
253,"Modi D",2021,"USA","retrospective cohort","single","2012","2019","NR","Y","1095",89,2,"C3"
254,"Modi D",2021,"USA","retrospective cohort","single","2006","2019","NR","Y","1096",76,2,"C2"
256,"Mohyuddin GR",2019,"USA","single arm descriptive excluded","single","NR","NR","NR","Y","1097",63,1,"none"
257,"Moiseev I",2025,"multinational","registry","registry","2015","2021","NR","Y","1098",450,2,"C2"
7,"Moiseev IS",2016,"Russia","prospective cohort","single","2010","2015","12","Y","1007",211,2,"C1"
258,"Moiseev IS",2017,"Russia","retrospective cohort","single","2006","2016","NR","Y","1099",183,2,"C1"
438,"Moiseev IS",2018,"Russia","prospective cohort","single","2013","2015","NR","partial","1007",200,3,"C3"
260,"Molina A",2026,"USA","retrospective cohort","single","2018","2025","30","Y","1100",237,2,"C1"
262,"Montoro",2024,"multinational","registry","registry","2015","2022","26","Y","1102",446,2,"C1"
261,"Montoro J",2021,"Spain","retrospective cohort","multi","2016","2019","16","Y","1101",129,2,"C1"
263,"Moriguchi",2024,"Japan","retrospective cohort","registry","2013","2021","NR","Y","1103",799,3,"C1/C2"
264,"Morsink",2024,"Netherlands","single arm descriptive excluded","single","2018","2022","21.3","Y","1104",92,1,"none"
268,"Mulroney CM",2021,"USA","registry","registry","2012","2017","NR","partial","1001",2765,3,"C1"
270,"Murthy HS",2022,"USA","registry","registry","2008","2018","49","Y","1105",266,2,"C1"
271,"Mushtaq MU",2024,"USA","retrospective cohort","single","2016","2021","24.4","Y","1106",452,2,"C1"
272,"Mussetti",2023,"multinational","registry","registry","2010","2019","33","Y","1107",2140,2,"C3"
273,"Nagayama T",2025,"Japan","registry","registry","2016","2021","14.5","Y","1108",5116,6,"C1"
276,"Nagler A",2021,"multinational","registry","registry","2012","2018","25","partial","1024",2304,2,"C1"
277,"Nagler A",2021,"multinational","registry","registry","2007","2017","24.4","partial","1024",434,2,"C2"
287,"Nagler A",2022,"multinational","registry","registry","2010","2019","16.04","partial","1024",1320,2,"C1"
278,"Nagler A",2023,"multinational","registry","registry","2010","2019","19.2","partial","1024",127,1,"none"
279,"Nagler A",2023,"multinational","registry","registry","2010","2021","25.9","partial","1024",1711,2,"none"
280,"Nagler A",2024,"multinational","registry","registry","2014","2021","22.8","partial","1024",7049,2,"C1/C2"
281,"Nagler A",2024,"multinational","registry","registry","2010","2020","NR","partial","1024",6050,2,"C1"
282,"Nagler A",2024,"multinational","registry","registry","2010","2022","27.1/22.5/31.8/19.8 (per arm: yHaplo/oMMUD/oHaplo/yMMUD)","partial","1024",2798,4,"C3"
442,"Nakamae H",2019,"Japan","prospective cohort","single","2013","2016","22.3","Y","1175",56,2,"C1"
289,"Nakaya Y",2024,"Japan","retrospective cohort","registry","2014","2020","27.6","Y","1109",697,3,"C1"
291,"Nath K",2024,"USA","single arm descriptive excluded","single","2008","2019","64","Y","1110",NA,NA,NA
292,"Ngo-Huang",2023,"USA","retrospective cohort","single","2015","2018","22","Y","1111",204,2,"none"
293,"Nguyen A",2024,"Switzerland","retrospective cohort","single","2015","2021","NR","Y","1112",421,1,"none"
296,"Nishikubo M",2024,"Japan","retrospective cohort","registry","2013","2021","NR","Y","1113",857,2,"C1"
297,"Noviello M",2023,"Italy","prospective cohort","single","2013","2015","48","Y","1114",185,2,"C1"
299,"Nykolyszyn C",2020,"France","retrospective cohort","single","2010","2018","PT-Cy: 24; ATG: 68","Y","1115",62,2,"C2"
300,"Orti G",2023,"multinational","registry","registry","2012","2019","34.9","Y","1116",1341,3,"C1"
301,"Otoukesh S",2024,"USA","retrospective cohort","single","2010","2020","55.2","Y","1117",269,2,"C1"
302,"Pagliardini",2019,"France","retrospective cohort","single","NR","NR","NR","Y","1118",209,2,"C1"
8,"Papanicolaou GA",2024,"USA","registry","registry","2012","2017","NR","partial","1001",2765,3,"C1"
304,"Pasic I",2020,"Canada","retrospective cohort","single","2013","2017","12","partial","1119",133,2,"C1"
305,"Paviglianiti A",2024,"multinational","retrospective cohort","registry","2010","2021","NR","partial","1024",185,2,"C1"
306,"Pei XY",2025,"China","single arm descriptive excluded","single","2015","2023","39","Y","1120",NA,NA,NA
307,"Penack O",2024,"multinational","registry","registry","2018","2021","25.2","Y","1121",8764,2,"C2"
308,"Penack O",2025,"multinational","registry","registry","2017","2021","26.4","Y","1122",5209,2,"C1"
311,"Perales MA",2025,"USA","registry","registry","2008","2019","55","Y","1123",1882,3,"C1"
312,"Pinana JL",2025,"Spain","single arm descriptive excluded","multi","2013","2023","23.3","Y","1124",112,1,"none"
