slug,source,k,freq_or,freq_lo,freq_hi,I2,tau_freq,Q_p
c1_agvhd,post_block9,28,0.6085577470297592,0.46646119272036674,0.793940712002485,62.06841727486706,0.5256999151790472,5.190374931704636e-5
c1_bk,post_block9,11,2.361399259144681,1.630346178009605,3.420259167225893,17.432819381549955,0.2567733854935008,0.22938939453032997
c1_bsi,post_block9,6,1.2920808477095358,0.6118992247997324,2.7283461873385964,71.32314917910819,0.7535550767491864,0.009905136567960835
c1_cgvhd_any,post_block9,8,0.24495567299824786,0.15062851422294515,0.3983527424642436,62.85791283894833,0.5134225936781276,7.805363531683039e-4
c1_cgvhd_ms,set_b,19,0.41634451043260984,0.28465623069084706,0.6089547063370965,57.733618685042174,0.5761175036995767,6.579353767848452e-4
c1_cmv,post_block9,22,1.248958378505598,0.9383597159802097,1.662365726783002,61.92437422504882,0.502861754202451,2.0664270674967558e-5
c1_ifi_any,post_block9,6,0.6048510819062879,0.2101370215473141,1.7409822818909324,80.48541346446117,1.1051332295755603,5.379458128184442e-4
c1_irm,set_b,13,1.025310992772576,0.7181717599199828,1.4638039123362567,57.24204196034595,0.44783788436283883,0.006785060931146491
c1_nrm,post_block9,12,0.9138251284617013,0.6787301259631358,1.2303511122672648,4.3385097941501925e-4,0.0011632659275455555,0.42757471806827435
c1_os,set_b,35,0.7859316576137801,0.6542027942185886,0.9441851607762408,64.02730060098152,0.3953782605881282,1.2744036943903207e-5
c1_rrm,set_b,34,0.8595756387841409,0.7618077350154603,0.9698907543596536,0,0,0.4783104349281218
c2_agvhd,set_b,8,0.5103917353181111,0.27577426393191806,0.944612161290525,73.90746627051593,0.7337995513516573,5.091077696369974e-5
c2_bk,post_block9,3,2.443852773390042,1.4146224340075557,4.221915498036205,0,0,0.7723959555632445
c2_cgvhd_ms,post_block9,6,0.7665686601585905,0.40444259204352756,1.4529318185016826,59.67985180509171,0.5741171073390606,0.028142226889653496
c2_cmv,set_b,12,0.8279625497473325,0.5141314953230469,1.3333592476247083,69.24780690944486,0.6613407389673988,2.6298877147400173e-4
c2_irm,post_block9,7,0.9319775981250765,0.6646383227360477,1.3068494754130098,38.594992550465335,0.25176283275438,0.1052104578786288
c2_os,set_b,9,0.7326233738007983,0.4429834166673821,1.21164131126443,92.95109659348071,0.6735393451114139,2.5702448693205844e-9
c2_rrm,post_block9,10,0.7752236159276141,0.5737344833370022,1.0474734779692232,57.02249777165384,0.2959984368075149,0.0179973107644168
c3_agvhd,post_block9,7,0.5192071893283765,0.2246361159030716,1.2000568313182203,77.31532756941354,0.8761138050033346,7.815237598164931e-7
c3_cgvhd,post_block9,4,0.49656579558637287,0.18897362725669709,1.3048254030250612,48.81131870854471,0.6836529911258284,0.11901611588182459
c3_nrm,post_block9,5,0.4919976331778888,0.17399297008111345,1.3912152366834023,80.00667001853664,0.9519983342626609,4.627198546027307e-6
c3_os,post_block9,6,0.9199757641688413,0.568111919875129,1.4897687885937552,78.10798406957416,0.4490890866290516,0.0012072009060948483
c3_rrm,post_block9,6,0.7524178541276951,0.43864572354464737,1.2906375163885577,6.97175597779413,0.20001147989433915,0.55796425749766565
