study_id,comparison,category,subtype,timepoint_used,ptcy_arm_id,comp_arm_id,ptcy_n,comp_n,ptcy_e,comp_e,ptcy_ci_pct,comp_ci_pct,ptcy_steroid_pct,comp_steroid_pct
2,1,aGVHD,grade_III_IV,D+100,1,2,208.0,212.0,13.0,31.0,6.3,14.7,,
6,1,aGVHD,grade_III_IV,D+100,10,11,68.0,97.0,,,,,60.0,80.0
7,1,aGVHD,grade_III_IV,D+100,14,15,86.0,125.0,3.0,34.0,4.0,27.0,,
9,1,aGVHD,grade_III_IV,D+100,19,20,200.0,130.0,13.0,17.0,6.5,13.1,,
20,1,aGVHD,grade_III_IV,D+100,29,30,26.0,52.0,4.0,8.0,15.4,15.4,,
50,1,aGVHD,grade_III_IV,D+100,54,55,78.0,40.0,7.0,12.0,8.97,30.0,34.6,57.5
51,1,aGVHD,grade_III_IV,D+100,56,57,78.0,40.0,7.0,12.0,8.97,30.0,34.6,57.5
57,1,aGVHD,grade_III_IV,D+100,63,64,389.0,1654.0,,,,,28.0,27.0
65,1,aGVHD,grade_III_IV,D+100,75,74,40.0,39.0,0.0,4.0,0.0,11.0,7.0,39.0
67,1,aGVHD,grade_III_IV,D+100,78,79,41.0,20.0,2.0,3.0,,,,
71,1,aGVHD,grade_III_IV,D+100,80,81,31.0,47.0,3.0,6.0,10.0,13.0,23.0,21.0
77,1,aGVHD,grade_III_IV,D+100,90,91,199.0,1111.0,18.0,156.0,8.9,14.0,28.2,30.6
86,1,aGVHD,grade_III_IV,D+100,101,102,22.0,37.0,3.0,1.0,,,18.0,32.0
88,1,aGVHD,grade_III_IV,D+100,104,105,40.0,40.0,2.0,5.0,5.0,12.5,15.0,39.8
105,1,aGVHD,grade_III_IV,D+100,120,121,61.0,68.0,2.0,7.0,3.0,10.0,,
110,1,aGVHD,grade_III_IV,D+100,126,127,53.0,22.0,6.0,4.0,10.4,18.9,22.3,54.5
111,1,aGVHD,grade_III_IV,D+100,130,128,78.0,210.0,2.0,37.0,3.1,17.4,16.0,40.6
112,1,aGVHD,grade_III_IV,D+100,132,133,306.0,686.0,22.0,92.0,7.2,13.4,28.1,39.9
119,1,aGVHD,grade_III_IV,D+100,137,138,34.0,34.0,2.0,5.0,,,13.0,50.0
133,1,aGVHD,grade_III_IV,D+100,151,152,30.0,47.0,1.0,6.0,3.0,11.0,14.0,26.0
144,1,aGVHD,grade_III_IV,D+100,165,166,117.0,39.0,1.0,1.0,1.0,2.6,21.4,23.1
166,1,aGVHD,grade_III_IV,D+100,172,173,30.0,31.0,1.0,2.0,3.3,6.5,16.7,25.8
167,1,aGVHD,grade_III_IV,D+100,174,175,16.0,16.0,,,,,13.0,50.0
168,1,aGVHD,grade_III_IV,D+100,177,178,225.0,837.0,20.0,92.0,9.0,11.0,33.0,31.0
170,1,aGVHD,grade_III_IV,D+100,181,182,1142.0,3185.0,80.0,389.0,7.0,12.2,26.4,37.3
180,1,aGVHD,grade_III_IV,D+100,188,189,29.0,87.0,2.0,10.0,6.9,11.5,17.2,34.5
183,1,aGVHD,grade_III_IV,D+100,191,190,103.0,94.0,16.0,10.0,16.0,11.0,33.0,35.0
196,1,aGVHD,grade_III_IV,D+100,201,202,49.0,93.0,12.0,82.0,8.0,12.0,27.0,40.0
198,1,aGVHD,grade_III_IV,D+100,206,207,15.0,25.0,0.0,3.0,,,13.3,28.0
207,1,aGVHD,grade_III_IV,D+100,212,213,21.0,21.0,2.0,4.0,,,33.3,66.7
209,1,aGVHD,grade_III_IV,D+100,216,217,57.0,50.0,5.0,12.0,8.8,24.4,22.6,52.2
216,1,aGVHD,grade_III_IV,D+100,220,221,55.0,75.0,4.0,5.0,7.31,7.57,18.4,19.32
217,1,aGVHD,grade_III_IV,D+100,222,223,119.0,35.0,12.0,,9.8,,26.6,
219,1,aGVHD,grade_III_IV,D+100,224,225,80.0,500.0,7.0,97.0,,,,
221,1,aGVHD,grade_III_IV,D+100,226,227,313.0,196.0,38.0,27.0,12.0,14.0,31.0,34.0
226,1,aGVHD,grade_III_IV,D+100,229,230,109.0,114.0,11.0,4.0,10.1,3.5,37.6,29.8
232,1,aGVHD,grade_III_IV,D+100,231,232,487.0,974.0,68.0,117.0,14.0,12.0,32.0,33.0
238,1,aGVHD,grade_III_IV,D+100,235,236,107.0,463.0,5.0,30.0,4.8,6.5,20.0,20.0
242,1,aGVHD,grade_III_IV,D+100,239,240,40.0,65.0,7.0,8.0,17.0,12.0,37.0,36.0
245,1,aGVHD,grade_III_IV,D+100,248,249,187.0,232.0,8.0,19.0,4.2,8.4,16.3,21.5
248,1,aGVHD,grade_III_IV,D+100,254,255,67.0,30.0,,,,,24.0,30.0
258,1,aGVHD,grade_III_IV,D+100,267,268,78.0,105.0,3.0,16.0,4.0,15.0,8.0,27.0
260,1,aGVHD,grade_III_IV,D+100,269,270,46.0,191.0,2.0,24.0,4.3,12.6,13.0,28.4
261,1,aGVHD,grade_III_IV,D+100,271,272,91.0,38.0,2.0,1.0,2.0,3.0,19.0,11.0
262,1,aGVHD,grade_III_IV,D+100,274,273,176.0,270.0,18.0,40.0,10.0,15.0,26.0,31.0
263,1,aGVHD,grade_III_IV,D+100,275,276,489.0,211.0,24.0,23.0,4.9,10.9,24.4,31.4
271,1,aGVHD,grade_III_IV,D+100,285,284,176.0,276.0,14.0,31.0,,,50.0,51.0
273,1,aGVHD,grade_III_IV,D+100,289,288,451.0,2675.0,23.0,377.0,5.0,14.1,23.1,41.9
280,1,aGVHD,grade_III_IV,D+100,301,302,707.0,6342.0,47.0,533.0,6.6,8.4,23.9,25.2
289,1,aGVHD,grade_III_IV,D+100,311,312,136.0,465.0,9.0,47.0,6.6,10.1,19.9,32.5
296,1,aGVHD,grade_III_IV,D+100,319,320,169.0,688.0,12.0,90.0,7.1,13.1,29.6,36.1
301,1,aGVHD,grade_III_IV,D+100,328,329,64.0,205.0,8.0,37.0,12.0,18.0,45.0,59.0
302,1,aGVHD,grade_III_IV,D+100,330,331,81.0,128.0,2.0,22.0,2.0,17.0,19.0,45.0
304,1,aGVHD,grade_III_IV,D+100,332,333,62.0,71.0,0.0,5.0,0.0,7.0,11.0,28.0
305,1,aGVHD,grade_III_IV,D+100,334,335,64.0,121.0,10.0,13.0,15.7,11.0,41.0,26.0
308,1,aGVHD,grade_III_IV,D+100,338,339,1069.0,4140.0,81.0,319.0,7.6,7.7,21.4,19.5
311,1,aGVHD,grade_III_IV,D+100,340,341,304.0,1203.0,19.0,152.0,6.3,12.6,34.2,48.5
318,1,aGVHD,grade_III_IV,D+100,344,345,415.0,1414.0,42.0,141.0,10.0,10.0,24.0,21.0
320,1,aGVHD,grade_III_IV,D+100,346,347,28.0,59.0,0.0,18.0,0.0,30.5,14.0,37.0
321,1,aGVHD,grade_III_IV,D+100,348,349,81.0,58.0,4.0,17.0,4.9,29.3,27.2,69.0
325,1,aGVHD,grade_III_IV,D+100,355,356,519.0,153.0,73.0,28.0,14.1,18.3,34.9,44.4
326,1,aGVHD,grade_III_IV,D+100,357,358,95.0,253.0,14.0,16.0,14.4,6.4,36.7,28.7
335,1,aGVHD,grade_III_IV,D+100,366,367,88.0,73.0,5.0,7.0,5.7,9.6,18.2,26.0
336,1,aGVHD,grade_III_IV,D+100,368,369,66.0,338.0,12.0,44.0,18.0,13.0,32.0,25.0
337,1,aGVHD,grade_III_IV,D+100,371,370,127.0,84.0,6.0,18.0,4.9,21.6,23.3,35.7
357,1,aGVHD,grade_III_IV,D+100,394,395,89.0,90.0,0.0,5.0,,,,
359,1,aGVHD,grade_III_IV,D+100,398,399,75.0,75.0,3.0,5.0,,,10.7,14.7
368,1,aGVHD,grade_III_IV,D+100,408,409,136.0,408.0,11.0,57.0,8.0,14.0,29.0,41.0
371,1,aGVHD,grade_III_IV,D+100,410,411,44.0,176.0,3.0,14.0,6.8,8.0,18.2,26.7
375,1,aGVHD,grade_III_IV,D+100,414,415,27.0,28.0,4.0,4.0,,,29.6,39.3
379,1,aGVHD,grade_III_IV,D+100,416,417,44.0,414.0,1.0,41.0,,,68.0,61.0
380,1,aGVHD,grade_III_IV,D+100,419,420,72.0,73.0,4.0,7.0,6.0,10.0,40.0,42.0
389,1,aGVHD,grade_III_IV,D+100,429,430,52.0,29.0,10.0,7.0,19.2,24.1,30.8,37.9
390,1,aGVHD,grade_III_IV,D+100,431,432,114.0,125.0,6.0,22.0,5.0,18.0,26.0,36.0
395,1,aGVHD,grade_III_IV,D+100,438,439,157.0,140.0,3.0,8.0,1.9,5.7,16.6,31.6
396,1,aGVHD,grade_III_IV,D+100,441,440,122.0,230.0,16.0,25.0,13.1,10.8,28.7,28.6
399,1,aGVHD,grade_III_IV,D+100,446,447,241.0,848.0,10.0,93.0,4.0,11.0,25.0,36.0
401,1,aGVHD,grade_III_IV,D+100,448,449,157.0,140.0,3.0,8.0,1.9,5.7,16.6,31.6
407,1,aGVHD,grade_III_IV,D+100,450,451,121.0,91.0,19.0,25.0,15.4,27.3,35.6,47.3
410,1,aGVHD,grade_III_IV,D+100,456,457,110.0,160.0,5.0,36.0,4.5,22.5,18.2,40.4
419,1,aGVHD,grade_III_IV,D+100,464,465,125.0,344.0,5.0,52.0,4.0,15.0,16.0,37.0
421,1,aGVHD,grade_III_IV,D+100,466,467,68.0,271.0,,,,,,
424,1,aGVHD,grade_III_IV,D+100,471,472,36.0,71.0,4.0,16.0,,,16.7,26.8
432,1,aGVHD,grade_III_IV,D+100,482,483,24.0,14.0,1.0,3.0,4.2,21.4,12.5,35.7
