study_id,comparison,category,subtype,timepoint_used,ptcy_arm_id,comp_arm_id,ptcy_n,comp_n,ptcy_e,comp_e,ptcy_ci_pct,comp_ci_pct,ptcy_steroid_pct,comp_steroid_pct
6,2,infection_related_mortality,IRM_any_cause_infectious,D+365_1yr,10,12,68.0,280.0,11.0,25.0,,,60.0,48.0
75,2,infection_related_mortality,IRM_any_cause_infectious,D+365_1yr,87,88,41.0,93.0,2.0,7.0,5.1,7.5,65.9,52.8
63,2,infection_related_mortality,IRM_any_cause_infectious,end_of_followup,71,72,2999.0,358.0,326.0,50.0,,,27.5,30.4
136,2,infection_related_mortality,IRM_any_cause_infectious,end_of_followup,154,155,82.0,89.0,7.0,12.0,,,22.0,25.0
263,2,infection_related_mortality,IRM_any_cause_infectious,end_of_followup,275,277,489.0,99.0,33.0,1.0,,,24.4,30.4
299,2,infection_related_mortality,IRM_any_cause_infectious,end_of_followup,323,324,22.0,40.0,1.0,1.0,,,14.0,35.0
307,2,infection_related_mortality,IRM_any_cause_infectious,end_of_followup,336,337,1039.0,7725.0,51.0,443.0,,,24.1,26.5
348,2,infection_related_mortality,IRM_any_cause_infectious,end_of_followup,387,388,45.0,45.0,6.0,8.0,,,,
