study_id,comparison,category,subtype,timepoint_used,ptcy_arm_id,comp_arm_id,ptcy_n,comp_n,ptcy_e,comp_e,ptcy_ci_pct,comp_ci_pct,ptcy_steroid_pct,comp_steroid_pct
100,3,overall_mortality,OS_event,D+365_1yr,116,115,124.0,160.0,16.0,29.0,13.0,18.0,9.8,19.0
203,3,overall_mortality,OS_event,D+365_1yr,210,211,99.0,252.0,10.0,96.0,10.0,38.0,16.0,33.0
253,3,overall_mortality,OS_event,D+365_1yr,261,260,65.0,24.0,21.0,7.0,32.6,31.1,,
272,3,overall_mortality,OS_event,D+365_1yr,286,287,1830.0,310.0,512.0,62.0,28.0,20.0,33.0,24.0
397,3,overall_mortality,OS_event,D+365_1yr,444,445,44.0,22.0,1.0,1.0,2.3,16.7,18.2,18.2
437,3,overall_mortality,OS_event,D+365_1yr,490,489,17.0,16.0,5.0,7.0,29.4,43.7,11.8,31.3
460,3,overall_mortality,OS_event,D+365_1yr,516,517,31.0,36.0,8.0,15.0,25.1,40.6,17.0,40.2
461,3,overall_mortality,OS_event,D+365_1yr,518,519,21.0,42.0,5.0,13.0,25.0,31.0,24.0,29.0
44,3,overall_mortality,OS_event,D+730_2yr,44,45,99.0,130.0,28.0,49.0,28.0,38.0,14.0,47.0
62,3,overall_mortality,OS_event,D+730_2yr,70,69,67.0,374.0,23.0,132.0,42.0,42.0,30.0,34.0
146,3,overall_mortality,OS_event,D+730_2yr,167,168,148.0,237.0,58.0,85.0,39.0,36.0,22.0,30.0
243,3,overall_mortality,OS_event,D+730_2yr,241,242,275.0,246.0,138.0,81.0,50.0,33.0,40.0,48.0
244,3,overall_mortality,OS_event,D+730_2yr,245,244,246.0,306.0,96.0,138.0,39.0,45.0,52.0,42.0
361,3,overall_mortality,OS_event,D+730_2yr,401,402,403.0,1605.0,179.0,753.0,44.4,46.9,,
418,3,overall_mortality,OS_event,D+730_2yr,462,463,33.0,25.0,10.0,14.0,32.0,48.0,18.0,17.0
431,3,overall_mortality,OS_event,D+730_2yr,480,481,32.0,46.0,15.0,32.0,47.5,68.7,22.1,42.9
10,3,overall_mortality,OS_event,end_of_followup,22,21,613.0,1681.0,251.0,,41.0,,,
