study_id,comparison,category,subtype,timepoint_used,ptcy_arm_id,comp_arm_id,ptcy_n,comp_n,ptcy_e,comp_e,ptcy_ci_pct,comp_ci_pct,ptcy_steroid_pct,comp_steroid_pct
2,1,NRM,NRM_overall,D+365_1yr,1,2,208.0,212.0,26.0,36.0,12.3,17.2,,
19,1,NRM,NRM_overall,D+365_1yr,27,28,139.0,457.0,15.0,27.0,11.0,6.0,45.0,30.0
20,1,NRM,NRM_overall,D+365_1yr,29,30,26.0,52.0,2.0,8.0,7.7,15.4,,
35,1,NRM,NRM_overall,D+365_1yr,35,36,487.0,7050.0,139.0,1445.0,28.6,20.5,39.2,27.3
45,1,NRM,NRM_overall,D+365_1yr,46,47,54.0,59.0,13.0,14.0,24.0,24.0,63.0,53.0
49,1,NRM,NRM_overall,D+365_1yr,50,51,118.0,91.0,45.0,22.0,37.89,24.3,58.0,52.0
50,1,NRM,NRM_overall,D+365_1yr,54,55,78.0,40.0,20.0,12.0,25.64,30.0,34.6,57.5
51,1,NRM,NRM_overall,D+365_1yr,56,57,78.0,40.0,20.0,12.0,25.64,30.0,34.6,57.5
65,1,NRM,NRM_overall,D+365_1yr,75,74,40.0,39.0,3.0,14.0,8.0,36.0,7.0,39.0
67,1,NRM,NRM_overall,D+365_1yr,78,79,41.0,20.0,21.0,7.0,51.0,35.0,,
72,1,NRM,NRM_overall,D+365_1yr,83,86,92.0,224.0,10.0,36.0,11.0,16.0,27.0,30.0
105,1,NRM,NRM_overall,D+365_1yr,120,121,61.0,68.0,4.0,4.0,6.0,6.0,,
110,1,NRM,NRM_overall,D+365_1yr,126,127,53.0,22.0,12.0,9.0,22.0,41.0,22.3,54.5
111,1,NRM,NRM_overall,D+365_1yr,130,128,78.0,210.0,,,,,16.0,40.6
112,1,NRM,NRM_overall,D+365_1yr,132,133,306.0,686.0,18.0,78.0,5.9,11.3,28.1,39.9
119,1,NRM,NRM_overall,D+365_1yr,137,138,34.0,34.0,6.0,4.0,18.0,14.0,13.0,50.0
120,1,NRM,NRM_overall,D+365_1yr,139,140,132.0,525.0,21.0,68.0,16.0,13.0,34.0,32.0
