study_id,comparison,category,subtype,timepoint_used,ptcy_arm_id,comp_arm_id,ptcy_n,comp_n,ptcy_e,comp_e,ptcy_ci_pct,comp_ci_pct,ptcy_steroid_pct,comp_steroid_pct
10,3,aGVHD,grade_II_IV,D+100,22,21,596.0,1626.0,,,,,,
44,3,aGVHD,grade_II_IV,D+100,44,45,99.0,130.0,13.0,55.0,14.0,47.0,14.0,47.0
100,3,aGVHD,grade_II_IV,D+100,116,115,124.0,160.0,12.0,30.0,9.8,19.0,9.8,19.0
146,3,aGVHD,grade_II_IV,D+100,167,168,148.0,237.0,33.0,71.0,22.0,30.0,22.0,30.0
203,3,aGVHD,grade_II_IV,D+100,210,211,99.0,252.0,16.0,83.0,16.0,33.0,16.0,33.0
243,3,aGVHD,grade_II_IV,D+100,241,242,269.0,246.0,108.0,118.0,40.0,48.0,40.0,48.0
272,3,aGVHD,grade_II_IV,D+100,286,287,1690.0,279.0,590.0,71.0,33.0,24.0,33.0,24.0
397,3,aGVHD,grade_II_IV,D+100,444,445,44.0,22.0,8.0,4.0,18.2,18.2,18.2,18.2
425,3,aGVHD,grade_II_IV,D+100,474,473,23.0,5.0,0.0,1.0,0.0,,0.0,
431,3,aGVHD,grade_II_IV,D+100,480,481,32.0,46.0,7.0,20.0,22.1,42.9,22.1,42.9
461,3,aGVHD,grade_II_IV,D+100,518,519,21.0,42.0,5.0,12.0,24.0,29.0,24.0,29.0
62,3,aGVHD,grade_II_IV,D+180,70,69,67.0,374.0,20.0,127.0,30.0,34.0,30.0,34.0
244,3,aGVHD,grade_II_IV,D+180,245,244,246.0,306.0,128.0,129.0,52.0,42.0,52.0,42.0
282,3,aGVHD,grade_II_IV,D+180,305,308,1065.0,271.0,241.0,66.0,22.6,24.3,22.6,24.3
418,3,aGVHD,grade_II_IV,D+180,462,463,33.0,25.0,6.0,4.0,18.0,17.0,18.0,17.0
437,3,aGVHD,grade_II_IV,D+180,490,489,17.0,16.0,0.0,3.0,,,11.8,31.3
460,3,aGVHD,grade_II_IV,D+180,516,517,31.0,36.0,5.0,14.0,17.0,40.2,17.0,40.2
