study_id,comparison,category,subtype,timepoint_used,ptcy_arm_id,comp_arm_id,ptcy_n,comp_n,ptcy_e,comp_e,ptcy_ci_pct,comp_ci_pct,ptcy_steroid_pct,comp_steroid_pct
2,1,cGVHD,moderate_severe_NIH,D+365_1yr,1,2,208.0,212.0,14.0,35.0,,,,
6,1,cGVHD,moderate_severe_NIH,D+365_1yr,10,11,68.0,97.0,16.0,51.0,,,60.0,80.0
20,1,cGVHD,moderate_severe_NIH,D+365_1yr,29,30,26.0,52.0,0.0,6.0,0.0,11.5,,
37,1,cGVHD,moderate_severe_NIH,D+365_1yr,38,37,40.0,25.0,4.0,8.0,9.0,30.1,,
72,1,cGVHD,moderate_severe_NIH,D+365_1yr,83,86,92.0,224.0,26.0,85.0,28.0,38.0,27.0,30.0
88,1,cGVHD,moderate_severe_NIH,D+365_1yr,104,105,40.0,40.0,1.0,5.0,2.9,19.6,15.0,39.8
105,1,cGVHD,moderate_severe_NIH,D+365_1yr,120,121,61.0,68.0,9.0,16.0,14.0,24.0,,
110,1,cGVHD,moderate_severe_NIH,D+365_1yr,126,127,53.0,22.0,11.0,8.0,21.4,36.4,22.3,54.5
111,1,cGVHD,moderate_severe_NIH,D+365_1yr,130,128,78.0,210.0,10.0,109.0,13.3,52.0,16.0,40.6
112,1,cGVHD,moderate_severe_NIH,D+365_1yr,132,133,306.0,686.0,25.0,213.0,8.1,31.0,28.1,39.9
119,1,cGVHD,moderate_severe_NIH,D+365_1yr,137,138,34.0,34.0,5.0,8.0,15.0,24.0,13.0,50.0
167,1,cGVHD,moderate_severe_NIH,D+365_1yr,174,175,16.0,16.0,1.0,8.0,6.0,50.0,13.0,50.0
168,1,cGVHD,moderate_severe_NIH,D+365_1yr,177,178,226.0,770.0,63.0,316.0,28.0,41.0,33.0,31.0
180,1,cGVHD,moderate_severe_NIH,D+365_1yr,188,189,29.0,87.0,7.0,48.0,25.0,55.0,17.2,34.5
198,1,cGVHD,moderate_severe_NIH,D+365_1yr,206,207,14.0,20.0,3.0,5.0,,,13.3,28.0
226,1,cGVHD,moderate_severe_NIH,D+365_1yr,229,230,109.0,114.0,21.0,26.0,19.4,22.8,37.6,29.8
245,1,cGVHD,moderate_severe_NIH,D+365_1yr,248,249,187.0,232.0,49.0,113.0,26.4,48.6,16.3,21.5
260,1,cGVHD,moderate_severe_NIH,D+365_1yr,269,270,46.0,191.0,3.0,47.0,7.5,24.5,13.0,28.4
271,1,cGVHD,moderate_severe_NIH,D+365_1yr,285,284,176.0,276.0,62.0,125.0,,,50.0,51.0
320,1,cGVHD,moderate_severe_NIH,D+365_1yr,346,347,28.0,59.0,4.0,22.0,14.0,37.0,14.0,37.0
321,1,cGVHD,moderate_severe_NIH,D+365_1yr,348,349,81.0,58.0,5.0,20.0,6.2,34.5,27.2,69.0
337,1,cGVHD,moderate_severe_NIH,D+365_1yr,371,370,127.0,84.0,5.0,12.0,4.3,14.7,23.3,35.7
359,1,cGVHD,moderate_severe_NIH,D+365_1yr,398,399,67.0,57.0,9.0,9.0,13.4,,10.7,14.7
379,1,cGVHD,moderate_severe_NIH,D+365_1yr,416,417,44.0,414.0,14.0,221.0,32.0,53.0,68.0,61.0
380,1,cGVHD,moderate_severe_NIH,D+365_1yr,419,420,72.0,73.0,2.0,24.0,3.0,33.0,40.0,42.0
419,1,cGVHD,moderate_severe_NIH,D+365_1yr,464,465,105.0,344.0,3.0,117.0,4.0,34.0,16.0,37.0
432,1,cGVHD,moderate_severe_NIH,D+365_1yr,482,483,24.0,14.0,0.0,8.0,0.0,65.8,12.5,35.7
7,1,cGVHD,moderate_severe_NIH,D+730_2yr,14,15,86.0,125.0,14.0,81.0,16.0,65.0,,
9,1,cGVHD,moderate_severe_NIH,D+730_2yr,19,20,200.0,130.0,20.0,53.0,9.8,41.1,,
45,1,cGVHD,moderate_severe_NIH,D+730_2yr,46,47,54.0,59.0,14.0,12.0,24.0,18.0,63.0,53.0
55,1,cGVHD,moderate_severe_NIH,D+730_2yr,60,61,33.0,37.0,5.0,14.0,15.0,39.0,39.0,27.0
71,1,cGVHD,moderate_severe_NIH,D+730_2yr,80,81,31.0,47.0,0.0,8.0,0.0,16.0,23.0,21.0
133,1,cGVHD,moderate_severe_NIH,D+730_2yr,151,152,30.0,47.0,1.0,7.0,4.0,15.0,14.0,26.0
140,1,cGVHD,moderate_severe_NIH,D+730_2yr,159,160,167.0,175.0,,,,,28.0,35.0
144,1,cGVHD,moderate_severe_NIH,D+730_2yr,165,166,117.0,39.0,9.0,2.0,7.7,5.8,21.4,23.1
166,1,cGVHD,moderate_severe_NIH,D+730_2yr,172,173,30.0,31.0,2.0,8.0,6.7,25.8,16.7,25.8
183,1,cGVHD,moderate_severe_NIH,D+730_2yr,191,190,103.0,94.0,26.0,15.0,25.0,16.0,33.0,35.0
184,1,cGVHD,moderate_severe_NIH,D+730_2yr,193,194,66.0,36.0,5.0,8.0,8.19,23.4,9.2,12.3
209,1,cGVHD,moderate_severe_NIH,D+730_2yr,216,217,57.0,50.0,8.0,13.0,16.7,26.0,22.6,52.2
238,1,cGVHD,moderate_severe_NIH,D+730_2yr,235,236,107.0,463.0,13.0,167.0,12.0,36.0,20.0,20.0
244,1,cGVHD,moderate_severe_NIH,D+730_2yr,247,246,140.0,272.0,14.0,79.0,10.0,29.0,44.0,37.0
258,1,cGVHD,moderate_severe_NIH,D+730_2yr,267,268,78.0,105.0,20.0,32.0,26.0,30.0,8.0,27.0
261,1,cGVHD,moderate_severe_NIH,D+730_2yr,271,272,91.0,38.0,29.0,1.0,36.0,3.0,19.0,11.0
302,1,cGVHD,moderate_severe_NIH,D+730_2yr,330,331,81.0,128.0,2.0,26.0,2.0,20.0,19.0,45.0
