study_id,comparison,category,subtype,timepoint_used,ptcy_arm_id,comp_arm_id,ptcy_n,comp_n,ptcy_e,comp_e,ptcy_ci_pct,comp_ci_pct,ptcy_steroid_pct,comp_steroid_pct
2,1,CMV,any_reactivation,D+100,1,2,208.0,212.0,15.0,15.0,7.3,7.1,,
4,1,CMV,any_reactivation,D+100,3,5,757.0,1605.0,303.0,337.0,40.0,21.0,,
45,1,CMV,any_reactivation,D+100,46,47,54.0,59.0,25.0,27.0,45.0,46.0,63.0,53.0
50,1,CMV,any_reactivation,D+100,54,55,78.0,40.0,54.0,28.0,69.2,70.0,34.6,57.5
51,1,CMV,any_reactivation,D+100,56,57,78.0,40.0,55.0,28.0,70.0,69.2,34.6,57.5
86,1,CMV,any_reactivation,D+100,101,102,22.0,37.0,9.0,28.0,41.0,77.0,18.0,32.0
119,1,CMV,any_reactivation,D+100,137,138,22.0,22.0,14.0,12.0,,,13.0,50.0
166,1,CMV,any_reactivation,D+100,172,173,30.0,31.0,18.0,15.0,60.0,48.4,16.7,25.8
183,1,CMV,any_reactivation,D+100,191,190,103.0,94.0,40.0,27.0,39.0,29.0,33.0,35.0
209,1,CMV,any_reactivation,D+100,216,217,57.0,50.0,,,,,22.6,52.2
379,1,CMV,any_reactivation,D+100,416,417,44.0,414.0,,161.0,,39.0,68.0,61.0
380,1,CMV,any_reactivation,D+100,419,420,72.0,73.0,13.0,9.0,18.0,12.0,40.0,42.0
390,1,CMV,any_reactivation,D+100,431,432,114.0,125.0,84.0,38.0,74.0,30.0,26.0,36.0
396,1,CMV,any_reactivation,D+100,441,440,122.0,230.0,65.0,136.0,,,28.7,28.6
88,1,CMV,any_reactivation,D+180,104,105,40.0,40.0,30.0,27.0,,,15.0,39.8
201,1,CMV,any_reactivation,D+180,208,209,59.0,68.0,45.0,47.0,,,39.0,47.1
226,1,CMV,any_reactivation,D+180,229,230,109.0,114.0,10.0,11.0,9.2,9.6,37.6,29.8
238,1,CMV,any_reactivation,D+180,235,236,107.0,463.0,10.0,43.0,9.5,9.3,20.0,20.0
335,1,CMV,any_reactivation,D+180,366,367,88.0,73.0,42.0,41.0,47.7,56.2,18.2,26.0
337,1,CMV,any_reactivation,D+180,371,370,127.0,84.0,63.0,40.0,49.6,47.7,23.3,35.7
338,1,CMV,any_reactivation,D+180,373,374,95.0,177.0,43.0,105.0,45.0,59.1,,
375,1,CMV,any_reactivation,D+180,414,415,13.0,21.0,4.0,12.0,,,29.6,39.3
