study_id,comparison,category,subtype,timepoint_used,ptcy_arm_id,comp_arm_id,ptcy_n,comp_n,ptcy_e,comp_e,ptcy_ci_pct,comp_ci_pct,ptcy_steroid_pct,comp_steroid_pct
39,2,NRM,NRM_overall,D+365_1yr,41,40,90.0,95.0,7.0,15.0,8.0,16.0,21.0,48.0
49,2,NRM,NRM_overall,D+365_1yr,50,51,118.0,91.0,45.0,22.0,37.89,24.3,58.0,52.0
75,2,NRM,NRM_overall,D+365_1yr,87,88,41.0,93.0,3.0,23.0,7.7,24.4,65.9,52.8
78,2,NRM,NRM_overall,D+365_1yr,93,94,174.0,1452.0,26.0,242.0,15.2,16.7,28.8,29.2
107,2,NRM,NRM_overall,D+365_1yr,122,123,30.0,64.0,1.0,7.0,3.0,11.0,23.0,45.0
111,2,NRM,NRM_overall,D+365_1yr,131,129,91.0,34.0,,,,,32.0,30.6
112,2,NRM,NRM_overall,D+365_1yr,132,134,306.0,395.0,18.0,46.0,5.9,11.7,28.1,39.7
120,2,NRM,NRM_overall,D+365_1yr,139,141,132.0,403.0,21.0,85.0,16.0,21.0,34.0,32.0
136,2,NRM,NRM_overall,D+365_1yr,154,155,82.0,89.0,15.0,18.0,18.7,20.2,22.0,25.0
168,2,NRM,NRM_overall,D+365_1yr,177,179,237.0,468.0,47.0,84.0,20.0,18.0,33.0,30.0
185,2,NRM,NRM_overall,D+365_1yr,195,196,82.0,46.0,13.0,17.0,16.0,38.0,,
196,2,NRM,NRM_overall,D+365_1yr,201,203,184.0,240.0,20.0,60.0,11.0,20.0,27.0,49.0
254,2,NRM,NRM_overall,D+365_1yr,262,263,25.0,51.0,4.0,16.0,17.0,31.4,24.4,52.9
363,2,NRM,NRM_overall,D+365_1yr,403,404,22.0,58.0,1.0,16.0,5.0,28.0,15.0,50.0
366,2,NRM,NRM_overall,D+365_1yr,407,406,73.0,74.0,15.0,15.0,21.0,20.0,46.0,33.0
66,2,NRM,NRM_overall,D+100,76,77,28.0,28.0,3.0,7.0,10.7,25.0,25.0,50.0
167,2,NRM,NRM_overall,end_of_followup,174,176,16.0,16.0,5.0,7.0,31.0,44.0,13.0,44.0
348,2,NRM,NRM_overall,end_of_followup,387,388,45.0,45.0,8.0,9.0,,,,
353,2,NRM,NRM_overall,end_of_followup,392,393,24.0,16.0,4.0,4.0,,,,
396,2,NRM,NRM_overall,end_of_followup,443,442,123.0,226.0,34.0,23.0,27.6,10.2,27.9,25.2
