study_id,comparison,category,subtype,timepoint_used,ptcy_arm_id,comp_arm_id,ptcy_n,comp_n,ptcy_e,comp_e,ptcy_ci_pct,comp_ci_pct,ptcy_steroid_pct,comp_steroid_pct
305,1,aGVHD,grade_II_IV,D+100,334,335,64.0,121.0,26.0,31.0,41.0,26.0,41.0,26.0
308,1,aGVHD,grade_II_IV,D+100,338,339,1069.0,4140.0,229.0,807.0,21.4,19.5,21.4,19.5
311,1,aGVHD,grade_II_IV,D+100,340,341,304.0,1203.0,86.0,537.0,28.2,44.6,34.2,48.5
318,1,aGVHD,grade_II_IV,D+100,344,345,415.0,1414.0,100.0,297.0,24.0,21.0,24.0,21.0
320,1,aGVHD,grade_II_IV,D+100,346,347,28.0,59.0,4.0,22.0,14.0,37.0,14.0,37.0
321,1,aGVHD,grade_II_IV,D+100,348,349,81.0,58.0,22.0,40.0,27.2,69.0,27.2,69.0
325,1,aGVHD,grade_II_IV,D+100,355,356,519.0,153.0,181.0,68.0,34.9,44.4,34.9,44.4
326,1,aGVHD,grade_II_IV,D+100,357,358,95.0,253.0,35.0,73.0,36.7,28.7,36.7,28.7
335,1,aGVHD,grade_II_IV,D+100,366,367,88.0,73.0,16.0,19.0,18.2,26.0,18.2,26.0
336,1,aGVHD,grade_II_IV,D+100,368,369,66.0,338.0,21.0,84.0,32.0,25.0,32.0,25.0
337,1,aGVHD,grade_II_IV,D+100,371,370,127.0,84.0,30.0,30.0,23.3,35.7,23.3,35.7
343,1,aGVHD,grade_II_IV,D+100,380,381,208.0,90.0,64.0,,30.6,,30.6,
357,1,aGVHD,grade_II_IV,D+100,394,395,89.0,90.0,2.0,15.0,,,,
359,1,aGVHD,grade_II_IV,D+100,398,399,75.0,75.0,8.0,11.0,10.7,14.7,10.7,14.7
368,1,aGVHD,grade_II_IV,D+100,408,409,136.0,408.0,39.0,167.0,29.0,41.0,29.0,41.0
371,1,aGVHD,grade_II_IV,D+100,410,411,44.0,176.0,8.0,47.0,18.2,26.7,18.2,26.7
375,1,aGVHD,grade_II_IV,D+100,414,415,27.0,28.0,8.0,8.0,,,29.6,39.3
379,1,aGVHD,grade_II_IV,D+100,416,417,44.0,414.0,30.0,254.0,,,68.0,61.0
380,1,aGVHD,grade_II_IV,D+100,419,420,72.0,73.0,29.0,31.0,40.0,42.0,40.0,42.0
389,1,aGVHD,grade_II_IV,D+100,429,430,52.0,29.0,16.0,11.0,30.8,37.9,30.8,37.9
390,1,aGVHD,grade_II_IV,D+100,431,432,114.0,125.0,30.0,45.0,26.0,36.0,26.0,36.0
395,1,aGVHD,grade_II_IV,D+100,438,439,157.0,140.0,26.0,44.0,16.6,31.6,16.6,31.6
396,1,aGVHD,grade_II_IV,D+100,441,440,122.0,230.0,35.0,66.0,28.7,28.6,28.7,28.6
399,1,aGVHD,grade_II_IV,D+100,446,447,241.0,848.0,60.0,305.0,25.0,36.0,25.0,36.0
401,1,aGVHD,grade_II_IV,D+100,448,449,157.0,140.0,26.0,44.0,16.6,31.6,16.6,31.6
407,1,aGVHD,grade_II_IV,D+100,450,451,121.0,91.0,43.0,43.0,35.6,47.3,35.6,47.3
410,1,aGVHD,grade_II_IV,D+100,456,457,110.0,160.0,20.0,65.0,18.2,40.4,18.2,40.4
419,1,aGVHD,grade_II_IV,D+100,464,465,125.0,344.0,20.0,127.0,16.0,37.0,16.0,37.0
421,1,aGVHD,grade_II_IV,D+100,466,467,68.0,271.0,,,,,,
424,1,aGVHD,grade_II_IV,D+100,471,472,36.0,71.0,6.0,19.0,,,16.7,26.8
432,1,aGVHD,grade_II_IV,D+100,482,483,24.0,14.0,3.0,5.0,12.5,35.7,12.5,35.7
442,1,aGVHD,grade_II_IV,D+100,494,495,39.0,17.0,24.0,8.0,62.0,47.0,62.0,47.0
19,1,aGVHD,grade_II_IV,D+180,27,28,136.0,447.0,61.0,134.0,45.0,30.0,45.0,30.0
45,1,aGVHD,grade_II_IV,D+180,46,47,54.0,59.0,34.0,32.0,63.0,53.0,63.0,53.0
55,1,aGVHD,grade_II_IV,D+180,60,61,33.0,37.0,13.0,10.0,39.0,27.0,39.0,27.0
72,1,aGVHD,grade_II_IV,D+180,83,86,92.0,224.0,25.0,67.0,27.0,30.0,27.0,30.0
118,1,aGVHD,grade_II_IV,D+180,135,136,280.0,902.0,88.0,325.0,31.6,36.0,31.6,36.0
120,1,aGVHD,grade_II_IV,D+180,139,140,123.0,490.0,42.0,157.0,34.0,32.0,34.0,32.0
140,1,aGVHD,grade_II_IV,D+180,159,160,167.0,175.0,47.0,61.0,28.0,35.0,28.0,35.0
184,1,aGVHD,grade_II_IV,D+180,193,194,87.0,40.0,8.0,5.0,9.2,12.26,9.2,12.3
244,1,aGVHD,grade_II_IV,D+180,247,246,140.0,272.0,62.0,101.0,44.0,37.0,44.0,37.0
270,1,aGVHD,grade_II_IV,D+180,282,283,37.0,229.0,,,,,,
276,1,aGVHD,grade_II_IV,D+180,294,295,413.0,1891.0,150.0,546.0,36.3,28.9,36.3,28.9
281,1,aGVHD,grade_II_IV,D+180,303,304,402.0,5648.0,85.0,1152.0,21.2,20.4,21.2,20.4
287,1,aGVHD,grade_II_IV,D+180,309,310,118.0,1202.0,30.0,275.0,25.2,22.9,25.2,22.9
323,1,aGVHD,grade_II_IV,D+180,351,352,47.0,69.0,16.0,18.0,34.4,26.8,34.4,26.8
338,1,aGVHD,grade_II_IV,D+180,373,374,95.0,177.0,14.0,74.0,14.7,41.8,,
340,1,aGVHD,grade_II_IV,D+180,375,376,758.0,2586.0,265.0,1156.0,35.0,44.7,35.0,44.7
