study_id,comparison,category,subtype,timepoint_used,ptcy_arm_id,comp_arm_id,ptcy_n,comp_n,ptcy_e,comp_e,ptcy_ci_pct,comp_ci_pct,ptcy_steroid_pct,comp_steroid_pct
2,1,overall_mortality,OS_event,D+365_1yr,1,2,208.0,212.0,48.0,56.0,23.0,27.8,,
6,1,overall_mortality,OS_event,D+365_1yr,10,11,68.0,97.0,26.0,29.0,38.0,30.0,60.0,80.0
19,1,overall_mortality,OS_event,D+365_1yr,27,28,139.0,457.0,31.0,73.0,22.0,16.0,45.0,30.0
20,1,overall_mortality,OS_event,D+365_1yr,29,30,26.0,52.0,4.0,11.0,17.1,21.2,,
35,1,overall_mortality,OS_event,D+365_1yr,35,36,487.0,7050.0,186.0,2214.0,38.1,31.4,39.2,27.3
37,1,overall_mortality,OS_event,D+365_1yr,38,37,40.0,25.0,4.0,2.0,9.0,8.8,,
48,1,overall_mortality,OS_event,D+365_1yr,48,49,125.0,375.0,25.0,88.0,19.8,23.4,,
49,1,overall_mortality,OS_event,D+365_1yr,50,51,118.0,91.0,70.0,42.0,59.72,45.8,58.0,52.0
50,1,overall_mortality,OS_event,D+365_1yr,54,55,78.0,40.0,26.0,14.0,33.33,35.0,34.6,57.5
51,1,overall_mortality,OS_event,D+365_1yr,56,57,78.0,40.0,26.0,14.0,33.33,35.0,34.6,57.5
67,1,overall_mortality,OS_event,D+365_1yr,78,79,41.0,20.0,22.0,8.0,54.0,40.0,,
72,1,overall_mortality,OS_event,D+365_1yr,83,86,92.0,224.0,27.0,65.0,29.0,29.0,27.0,30.0
105,1,overall_mortality,OS_event,D+365_1yr,120,121,66.0,68.0,11.0,18.0,17.0,27.0,,
120,1,overall_mortality,OS_event,D+365_1yr,139,140,132.0,525.0,45.0,184.0,34.0,35.0,34.0,32.0
133,1,overall_mortality,OS_event,D+365_1yr,151,152,30.0,47.0,9.0,26.0,31.0,55.0,14.0,26.0
178,1,overall_mortality,OS_event,D+365_1yr,184,185,118.0,76.0,33.0,18.0,,,26.3,31.6
180,1,overall_mortality,OS_event,D+365_1yr,188,189,29.0,87.0,6.0,26.0,19.0,30.3,17.2,34.5
187,1,overall_mortality,OS_event,D+365_1yr,197,198,330.0,1669.0,151.0,796.0,45.9,47.7,,
196,1,overall_mortality,OS_event,D+365_1yr,201,202,185.0,488.0,44.0,107.0,24.0,22.0,27.0,40.0
198,1,overall_mortality,OS_event,D+365_1yr,206,207,15.0,25.0,1.0,9.0,6.7,36.0,13.3,28.0
