"slug","freq_or","freq_ci_lo","freq_ci_hi","I2","tau2","k"
"c1_agvhd",0.608557747029759,0.466461192720367,0.793940712002485,62.068417274867,0.276360400819258,28
"c1_bsi",1.29208084770954,0.611899224799732,2.7283461873386,71.3231491791082,0.567845253694472,6
"c1_cmv",1.2489583785056,0.93835971598021,1.662365726783,61.9243742250488,0.252869943839566,22
"c1_ifi_any",0.604851081906288,0.210137021547314,1.74098228189093,80.4854134644612,1.22131945511211,6
"c1_nrm",0.913825128461701,0.678730125963136,1.23035111226726,0.000433850979405315,1.35318761815815e-06,12
"c1_os",0.774445539766262,0.663915040492416,0.903377476761211,64.3483192428188,0.12447870239122,40
"c2_agvhd",0.462386718536635,0.256515994676783,0.833482051473914,73.2894010817686,0.550659480597393,9
"c2_cmv",0.757835970872088,0.47176261658243,1.21738208700835,70.6711425155521,0.481472162476854,13
"c2_nrm",0.631817392027815,0.297804170133316,1.34045542978839,0,0,3
"c2_os",0.593496836299644,0.324178802425608,1.08655622163487,95.3058613297552,0.775770410401002,10
"c3_agvhd",0.519207189328377,0.224636115903072,1.20005683131822,77.3153275694135,0.767575399317421,7
"c3_cgvhd",0.496565795586373,0.188973627256697,1.30482540302506,48.8113187085447,0.467381412275292,4
"c3_nrm",0.491997633177889,0.173992970081114,1.3912152366834,80.0066700185366,0.906300828438881,5
"c3_os",0.919975764168841,0.568111919875129,1.48976878859376,78.1079840695742,0.201681007729316,6
"c1_irm",1.00659156304503,0.701109814481736,1.44517528333622,70.3918892629041,0.26854764366821,15
"c2_irm",0.80930744985848,0.65694977019344,0.996999433006233,0.000410813524716864,4.0440011310237e-07,6
