"study_id","first_author","pub_year","timepoint","tp_early","ptcy_arm_id","comp_arm_id","ptcy_n","comp_n","ptcy_e","comp_e","ptcy_steroid_pct","comp_steroid_pct"
2,"Bolanos-Meade J",2023,"D+365_1yr",1,1,2,208,212,43,71,"NR","NR"
67,"Bhatia",2026,"D+365_1yr",1,78,79,41,20,5,6,"NR","NR"
166,"Guo W",2026,"D+730_2yr",0,172,173,30,31,3,12,"16.7","25.8"
178,"Huntley D",2020,"end_of_followup",0,184,185,118,76,12,20,"26.3","31.6"
192,"Kahraman",2026,"end_of_followup",0,199,200,49,29,3,11,"NR","NR"
196,"Kanate AS",2016,"D+365_1yr",1,201,202,183,475,28,289,"27","40"
357,"Sharaf El-Deen MO",2024,"D+365_1yr",1,394,395,89,90,10,24,"NR","NR"
389,"Wang T",2022,"D+365_1yr",1,429,430,52,29,3,7,"30.8","37.9"
