study_id,comparison,category,subtype,timepoint_used,tp_early,ptcy_arm_id,comp_arm_id,ptcy_n,comp_n,ptcy_e,comp_e,ptcy_steroid_pct,comp_steroid_pct
280,2,relapse_related_mortality,RRM_any_cause_relapse,D+730_2yr,1,301,302,707,6342,110,1123,23.9,25.2
353,2,relapse_related_mortality,RRM_any_cause_relapse,D+730_2yr,1,392,393,24,16,3,8,NA,NA
6,2,relapse_related_mortality,RRM_any_cause_relapse,end_of_followup,1,10,12,68,280,9,44,60,48
24,2,relapse_related_mortality,RRM_any_cause_relapse,end_of_followup,1,31,32,69,90,15,12,21.7,58.9
111,2,relapse_related_mortality,RRM_any_cause_relapse,end_of_followup,1,131,129,91,34,15,12,32,30.6
124,2,relapse_related_mortality,RRM_any_cause_relapse,end_of_followup,1,149,150,23,37,1,7,21.7,59.5
136,2,relapse_related_mortality,RRM_any_cause_relapse,end_of_followup,1,154,155,82,89,12,6,22,25
137,2,relapse_related_mortality,RRM_any_cause_relapse,end_of_followup,1,156,158,330,74,47,12,41.8,37.8
299,2,relapse_related_mortality,RRM_any_cause_relapse,end_of_followup,1,323,324,22,40,2,9,14,35
307,2,relapse_related_mortality,RRM_any_cause_relapse,end_of_followup,1,336,337,1039,7725,124,1238,24.1,26.5
