outcome,k,N,OR_median,OR_lo,OR_hi,P_lt1,tau,model
CMV,12,1267,0.77,0.6,0.99,98,0.53,M1
CMV,NA,NA,0.82,0.64,1.05,93.7,0.58,M2
NRM,5,1186,0.65,0.43,0.97,98.2,0.38,M1
NRM,NA,NA,0.76,0.48,1.16,90,0.21,M2
OS,10,10624,0.69,0.61,0.78,100,0.56,M1
OS,NA,NA,0.78,0.68,0.9,99.9,0.7,M2
aGVHD II-IV,6,784,0.59,0.42,0.84,99.8,0.27,M1
