outcome,subtype,strategy,k,n_ptcy,n_ctrl,n_total,freq_or,freq_lo,freq_hi,freq_i2,freq_tau,freq_qp,bayes_or,bayes_lo,bayes_hi,bayes_tau,bayes_tau_lo,bayes_tau_hi,p_lt1,p_gt1
Overall survival,OS_event,1yr > 2yr > EoF,35,4687,12974,17661,0.7478774802460912,0.6310182132120232,0.8863781008985074,67.50174475633314,0.3795557513356306,9.974970722493411e-8,0.7677590955950889,0.7056728434231886,0.8344099474390351,0.5926104736159892,0.46320706471869205,0.7833296936144055,100,0
  ↳ M2: GVHD-adjusted,OS_event,+ steroid_pct (MI),35,4687,12974,17661,NA,NA,NA,NA,NA,NA,0.8291072043771137,0.7471279599063376,0.9224176334482326,0.5397024315972827,0.4139017409493179,0.719731580916349,99.95833333333334,0.04166666666666667
Non-relapse mortality,NRM_overall,1yr > 2yr > EoF,15,1247,834,2081,0.7803020710923256,0.5588159091707678,1.0895740657320991,39.10128739790129,0.38339324733228314,0.07065653315444125,0.8645821661051524,0.696165346041303,1.07741500331287,0.5604047195292063,0.3484471606007586,0.8867467242815723,90.31666666666666,9.683333333333334
  ↳ M2: GVHD-adjusted,NRM_overall,+ steroid_pct (MI),15,1247,834,2081,NA,NA,NA,NA,NA,NA,1.024576259079764,0.7913932861275039,1.3297619994540741,0.4006410768209174,0.17156458500433328,0.7188805848335931,42.516666666666666,57.483333333333334
aGVHD grade II–IV,grade_II_IV,D+100 > D+180 > EoF,24,1705,2132,3837,0.57704932040958,0.42722806163150295,0.779410221588788,62.91351069858524,0.5607613633924474,2.643410713557479e-5,0.6314866871448868,0.5377297181583266,0.7424527540103275,0.6563385618060906,0.48697012400469686,0.8968636489250732,100,0
CMV reactivation,any_reactivation,D+100 > D+180 > EoF,18,1039,2318,3357,1.2209423184872092,0.8739744532984649,1.7056564290258989,68.6320234044201,0.5606601058982875,3.671331337608048e-6,1.4078637347969307,1.198666544833513,1.6537104669794007,0.5731797983990136,0.4042240117018262,0.8552754223369783,0,100
  ↳ M2: GVHD-adjusted,any_reactivation,+ steroid_pct (MI),18,1039,2318,3357,NA,NA,NA,NA,NA,NA,1.4261529292315356,1.1823040648853216,1.7274261241122277,0.5976861430235314,0.4105086319655853,0.8855121192508937,0.008333333333333333,99.99166666666667
  ↳ Sensitivity: post-2020,any_reactivation,D+100 > D+180 > EoF,13,754,1931,2685,NA,NA,NA,NA,NA,NA,1.8015688621742874,1.4903365123939467,2.1815470453586396,0.6269274344482951,0.4192787356194084,0.982845978608799,0,100
  ↳ Sensitivity: haplo-only,any_reactivation,D+100 > D+180 > EoF,11,684,1543,2227,NA,NA,NA,NA,NA,NA,1.701084891068175,1.391306109201759,2.0986647502714773,0.6091081775267286,0.40018671421653806,0.9805546855852676,0,100
