arm_id,study_id,arm_label_in_paper,arm_role,comparison_1_eligible,comparison_2_eligible,comparison_3_eligible,n_patients,pct_male,age_median_years,age_iqr_low,age_iqr_high,age_range_min,age_range_max,age_mean_years,age_sd_years,disease_aml_pct,disease_all_pct,disease_mds_pct,disease_mpn_pct,disease_cml_pct,disease_lymphoma_pct,disease_mm_pct,disease_cll_pct,disease_saa_pct,disease_other_pct,disease_risk_high_pct,disease_risk_intermediate_pct,disease_risk_low_pct,disease_risk_classifier_used,donor_msd_pct,donor_mud_pct,donor_mmud_pct,donor_haplo_pct,donor_ucb_pct,donor_predominant,graft_pbsc_pct,graft_bm_pct,graft_ucb_pct,graft_predominant,conditioning_mac_pct,conditioning_ric_pct,conditioning_nma_pct,conditioning_classification_scheme,conditioning_predominant,tbi_used_pct,hla_10_10_pct,hla_9_10_pct,hla_8_10_or_lower_pct,hla_haplo_pct,cmv_recipient_pos_pct,cmv_donor_pos_pct,cmv_DposRpos_pct,cmv_DposRneg_pct,cmv_DnegRpos_pct,cmv_DnegRneg_pct,cmv_serostatus_reporting,ptcy_used,ptcy_dose_mg_kg_per_dose,ptcy_n_doses,ptcy_days_post_transplant,ptcy_total_dose_mg_kg,ptcy_dose_category,cni_used,cni_agent,cni_target_trough_ng_ml_range,mmf_used,mmf_total_daily_dose_mg,mtx_used,mtx_schedule,mtx_total_dose_mg_m2,sirolimus_used,abatacept_used,other_immunosuppressant_used,other_immunosuppressant_description,atg_used,atg_agent,atg_total_dose_mg_kg,atg_dose_category,atg_timing,letermovir_use,letermovir_era_proxy,antifungal_prophylaxis_agent,antifungal_mold_active,antifungal_duration_target,antibacterial_prophylaxis_agent,pjp_prophylaxis_agent,cmv_monitoring_method,cmv_monitoring_frequency_per_week,cmv_preemptive_threshold,systemic_steroid_for_gvhd_exposure_pct,steroid_exposure_duration_days_median,second_line_gvhd_therapy_exposure_pct
81,71,MRD,comparator_arm,Y,N,N,47,61,62,NR,NR,55,71,NR,NR,30,8,10,4,2,21,15,8,0,0,25,64,11,refined_DRI,100,0,0,0,0,MSD,100,0,0,PBSC,0,100,0,investigator_defined,RIC,0,100,0,0,0,74,74,64,10,10,16,DR_combinations,N,NA,NA,NA,NA,NA,Y,cyclosporine,NR,N,NA,N,NA,NA,N,N,N,NA,Y,rabbit_thymoglobulin,5,standard_4.5_to_10_rabbit,pre_transplant,none,pre_2018,NR,NR,NR,NR,NR,NR,NR,NR,21,NR,NR
82,71,UD,comparator_arm,Y,N,N,63,48,64,NR,NR,57,71,NR,NR,29,8,19,3,3,22,11,5,0,0,27,63,10,refined_DRI,0,79.40000000000001,20.6,0,0,MUD,95,5,0,PBSC,0,100,0,investigator_defined,RIC,0,79.40000000000001,20.6,0,0,28,52,24,48,4,24,DR_combinations,N,NA,NA,NA,NA,NA,Y,cyclosporine,NR,Y,NR,N,NA,NA,N,N,N,NA,Y,rabbit_thymoglobulin,5,standard_4.5_to_10_rabbit,pre_transplant,none,pre_2018,NR,NR,NR,NR,NR,NR,NR,NR,44,NR,NR
83,72,TAC/MMF/PTCy,PTCy_arm,Y,N,N,92,67.40000000000001,64,56,72,NR,NR,NR,NR,53.3,8.699999999999999,18.5,NR,3.3,13,NR,0,NR,NR,18.5,NR,NR,DRI,31.5,54.3,9.800000000000001,0,0,MUD,NR,NR,0,PBSC,0,100,0,CIBMTR,RIC,10.9,NR,NR,NR,0,NR,NR,NR,NR,NR,NR,NR,Y,50,2,"+3,+4",100,standard_50x2,Y,tacrolimus,5-15,Y,"15 mg/kg TID, max 1g TID, d+5 to d+35",N,NA,NA,N,N,N,NA,N,NA,NA,NA,NA,era_proxy_only,pre_2018,NR,NR,NR,NR,NR,NR,NR,NR,27,NR,NR
84,72,TAC/MTX/Bortezomib,comparator_arm,N,N,N,89,65.2,64,55,73,NR,NR,NR,NR,51.7,13.5,18,NR,2.2,7.9,NR,2.2,NR,NR,19.1,NR,NR,DRI,32.6,59.6,6.7,0,0,MUD,NR,NR,0,PBSC,0,100,0,CIBMTR,RIC,10.1,NR,NR,NR,0,NR,NR,NR,NR,NR,NR,NR,N,NA,NA,NA,NA,NA,Y,tacrolimus,5-15,N,NA,Y,"15 mg/m2 d+1; 10 mg/m2 d+3, +6, +11",45,N,N,Y,"bortezomib 1.3 mg/m2 IV on days +1, +4, +7",N,NA,NA,NA,NA,era_proxy_only,pre_2018,NR,NR,NR,NR,NR,NR,NR,NR,26,NR,NR
85,72,TAC/MTX/Maraviroc,comparator_arm,N,N,N,92,59.8,64,54,73,NR,NR,NR,NR,53.3,12,16.3,NR,2.2,8.699999999999999,NR,3.3,NR,NR,20.7,NR,NR,DRI,35.9,52.2,10.9,0,0,MUD,NR,NR,0,PBSC,0,100,0,CIBMTR,RIC,13,NR,NR,NR,0,NR,NR,NR,NR,NR,NR,NR,N,NA,NA,NA,NA,NA,Y,tacrolimus,5-15,N,NA,Y,"15 mg/m2 d+1; 10 mg/m2 d+3, +6, +11",45,N,N,Y,maraviroc 300 mg PO BID from day -3 to day +30,N,NA,NA,NA,NA,era_proxy_only,pre_2018,NR,NR,NR,NR,NR,NR,NR,NR,32,NR,NR
86,72,TAC/MTX (controls),comparator_arm,Y,N,N,224,57.6,64,55,73,NR,NR,NR,NR,52.2,6.3,29.5,NR,0.4,5.4,NR,4,NR,NR,22.3,NR,NR,DRI,39.7,53.1,5.8,0,0,MUD,NR,NR,0,PBSC,0,100,0,CIBMTR,RIC,4.5,NR,NR,NR,0,NR,NR,NR,NR,NR,NR,NR,N,NA,NA,NA,NA,NA,Y,tacrolimus,5-15,N,NA,Y,"15 mg/m2 d+1; 10 mg/m2 d+3, +6, +11 (per protocol guidance)",45,N,N,N,NA,N,NA,NA,NA,NA,era_proxy_only,pre_2018,NR,NR,NR,NR,NR,NR,NR,NR,30,NR,NR
87,75,PTCY,PTCy_arm,N,Y,N,41,53.7,NR,NR,NR,22.5,64.90000000000001,47.5,NR,46.3,7.3,26.8,4.9,0,14.6,0,0,0,0,29.3,46.3,17.1,DRI,0,0,100,0,0,MMUD,97.59999999999999,2.4,0,PBSC,46.4,53.7,NR,EBMT,RIC,2.4,0,100,0,0,63.5,58.6,41.5,17.1,22,19.5,DR_combinations,Y,50,2,"+3,+4",100,standard_50x2,Y,cyclosporine,NR,Y,NR,N,NA,NA,N,N,N,NA,N,NA,NA,NA,NA,select_high_risk,post_2018,NR,NR,NR,NR,NR,PCR_qPCR,NR,CMV viremia >3 log IU/mL confirmed 1 week apart,65.90000000000001,NR,NR
88,75,HD-ATG,comparator_arm,N,Y,N,93,66.7,NR,NR,NR,15.5,66.59999999999999,43.5,NR,34.4,24.8,7.5,3.2,3.3,12.9,0,0,0,0,29,52.7,16.1,DRI,0,0,100,0,0,MMUD,97.8,2.2,0,PBSC,43,57,NR,EBMT,RIC,30.1,0,100,0,0,58.1,50.6,32.3,18.3,25.8,23.7,DR_combinations,N,NA,NA,NA,NA,NA,Y,cyclosporine,NR,Y,NR,Y,NR,NR,N,N,N,NA,Y,mixed,NR,mixed,pre_transplant,select_high_risk,mixed_spans_era,NR,NR,NR,NR,NR,PCR_qPCR,NR,CMV viremia >3 log IU/mL confirmed 1 week apart,52.8,NR,NR
89,75,LD-ATG,comparator_arm,N,Y,N,21,57.1,NR,NR,NR,16.3,66.5,50.1,NR,57.1,9.5,14.3,4.8,0,9.5,0,0,0,0,33.3,57.1,0,DRI,0,0,100,0,0,MMUD,95.2,4.8,0,PBSC,42.9,57.1,NR,EBMT,RIC,9.5,0,100,0,0,57.2,57.2,28.6,28.6,28.6,14.3,DR_combinations,N,NA,NA,NA,NA,NA,Y,cyclosporine,NR,Y,NR,N,NA,NA,N,N,N,NA,Y,mixed,NR,low_le_4.5_rabbit,pre_transplant,select_high_risk,mixed_spans_era,NR,NR,NR,NR,NR,PCR_qPCR,NR,CMV viremia >3 log IU/mL confirmed 1 week apart,47.6,NR,NR
90,77,Haplo PTCy,PTCy_arm,Y,N,N,199,54.3,51.9,NR,NR,18.2,77.8,NR,NR,100,0,0,0,0,0,0,0,0,0,28.6,65.90000000000001,5.6,investigator_defined,0,0,0,100,0,haplo,52.7,47.2,0,mixed,53.5,40.9,0,EBMT,MAC,NR,0,0,0,100,79.59999999999999,63.9,59.2,4.71,20.4,15.7,DR_combinations,Y,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,N,NR,NR,N,NA,NA,NA,NA,NR,pre_2018,NR,NR,NR,NR,NR,NR,NR,NR,28.2,NR,NR
